date,ppm,area
2019_10_18,1.02,1646
2019_10_18,1.02,1635
2019_10_18,1.02,1619
2019_10_18,1.02,1588
2019_10_18,1.02,1627
2019_10_18,1.02,1617
2019_10_18,1.02,1567
2019_10_18,1.02,1620
2019_10_18,1.02,1598
2019_10_18,1.02,1637
2019_10_18,1.02,1612
2019_10_18,1.02,1626
2019_10_18,1.02,1583
2019_10_18,1.02,1589
2019_10_18,1.02,1644
2019_10_18,1.8,2910
2019_10_18,1.8,2934
2019_10_18,1.8,2918
2019_10_18,1.8,2968
2019_10_18,1.8,2893
2019_10_18,1.8,2944
2019_10_18,1.8,2884
2019_10_18,1.8,2873
2019_10_18,1.8,2924
2019_10_18,1.8,2961
2019_10_18,1.8,3020
2019_10_18,1.8,2850
2019_10_18,1.8,2929
2019_10_18,1.8,2943
2019_10_18,1.8,2939
2019_10_18,1.8,3044
2019_10_18,10.1,15388
2019_10_18,10.1,15417
2019_10_18,10.1,15266
2019_10_18,10.1,15351
2019_10_18,10.1,15343
2019_10_18,10.1,15365
2019_10_18,10.1,15543
2019_10_18,10.1,15301
2019_10_18,10.1,15242
2019_10_18,10.1,14918
2019_10_18,10.1,15412
2019_10_18,10.1,14936
2019_10_18,10.1,14863
2019_10_18,10.1,15223
2019_10_18,10.1,14977
2019_10_18,10.1,15115
2019_10_04,10,15481
2019_10_04,10,15576
2019_10_04,10,15542
2019_10_04,10,15436
2019_10_04,10,15564
2019_10_04,10,15445
2019_10_04,10,15401
2019_10_04,10,15309
2019_10_04,10,15517
2019_10_04,10,15460
2019_10_04,1.02,1531
2019_10_04,1.02,1531
2019_10_04,1.02,1538
2019_10_04,1.02,1470
2019_10_04,1.02,1458
2019_10_04,1.02,1498
2019_10_04,1.02,1478
2019_10_04,1.02,1528
2019_10_04,1.02,1482
2019_10_04,1.02,1490
2019_10_04,1.8,2855
2019_10_04,1.8,2774
2019_10_04,1.8,2838
2019_10_04,1.8,2844
2019_10_04,1.8,2882
2019_10_04,1.8,2917
2019_10_04,1.8,2927
2019_10_04,1.8,2895
2019_10_04,1.8,2878
2019_09_13,10,12888
2019_09_13,10,12954
2019_09_13,10,13026
2019_09_13,10,13135
2019_09_13,10,13295
2019_09_13,10,13016
2019_09_13,10,13072
2019_09_13,10,12838
2019_09_13,10,13068
2019_09_13,1.8,2478
2019_09_13,1.8,2485
2019_09_13,1.8,2500
2019_09_13,1.8,2510
2019_09_13,1.8,2519
2019_09_13,1.8,2537
2019_09_13,1.8,2541
2019_09_13,1.8,2550
2019_09_13,1.8,2557
2019_09_13,1.8,2560
2019_09_13,1.8,2606
2019_09_13,1.8,2618
2019_09_13,1.8,2506
2019_09_13,1.8,2514
2019_09_13,1.8,2510
2019_09_13,1.02,1345
2019_09_13,1.02,1374
2019_09_13,1.02,1395
2019_09_13,1.02,1397
2019_09_13,1.02,1400
2019_09_13,1.02,1400
2019_09_13,1.02,1402
2019_09_13,1.02,1406
2019_09_13,1.02,1413
2019_09_13,1.02,1413
2019_09_13,1.02,1418
2019_09_13,1.02,1424
2019_09_13,1.02,1426
2019_09_13,1.02,1410
2019_09_13,1.02,1388
2019_08_30,10,15801
2019_08_30,10,15801
2019_08_30,10,15607
2019_08_30,10,15414
2019_08_30,10,15656
2019_08_30,10,15161
2019_08_30,10,15409
2019_08_30,10,15673
2019_08_30,10,15695
2019_08_30,10,15720
2019_08_30,10,15646
2019_08_30,10,15824
2019_08_30,10,15521
2019_08_30,1.8,3012
2019_08_30,1.8,3040
2019_08_30,1.8,2933
2019_08_30,1.8,3033
2019_08_30,1.8,2988
2019_08_30,1.8,2959
2019_08_30,1.8,2988
2019_08_30,1.8,3056
2019_08_30,1.8,2967
2019_08_30,1.8,2973
2019_08_30,1.8,2941
2019_08_30,1.8,2861
2019_08_30,1.02,1641
2019_08_30,1.02,1648
2019_08_30,1.02,1666
2019_08_30,1.02,1675
2019_08_30,1.02,1651
2019_08_30,1.02,1691
2019_08_30,1.02,1703
2019_08_30,1.02,1669
2019_08_30,1.02,1643
2019_08_30,1.02,1644
2019_08_30,1.02,1712
2019_11_15,10,59915
2019_11_15,10,60129
2019_11_15,10,59774
2019_11_15,10,59925
2019_11_15,10,59893
2019_11_15,10,60725
2019_11_15,10,59861
2019_11_15,10,60590
2019_11_15,10,61141
2019_11_15,10,60263
2019_11_15,10,60217
2019_11_15,10,60237
2019_11_15,10,59757
2019_11_15,10,58972
2019_11_15,1.02,5279
2019_11_15,1.02,5192
2019_11_15,1.02,5176
2019_11_15,1.02,5070
2019_11_15,1.02,5159
2019_11_15,1.02,5315
2019_11_15,1.02,5801
2019_11_15,1.02,5070
2019_11_15,1.8,10814
2019_11_15,1.8,10725
2019_11_15,1.8,10879
2019_11_15,1.8,10696
2019_11_15,1.8,10786
2019_11_15,1.8,11116
2019_11_15,1.8,10752
2019_11_15,1.8,10859
2019_11_15,1.8,11889
2019_11_15,1.8,11061
