date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_10_18,NNHA,AS,14.793,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,0,14.863,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,15,16.269,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,30,17.33,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,45,18.374,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHB,AS,14.949,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,0,15.313,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,15,17.782,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,30,19.49,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,45,20.589,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHC,AS,20.274,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,0,15.174,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,15,18.721,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,30,20.309,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,45,21.495,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNLA,AS,15.277,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,0,15.572,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,15,17.188,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,30,17.971,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,45,17.536,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLB,AS,18.284,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,0,14.496,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,15,16.058,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,30,16.006,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,45,15.571,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLC,AS,15.71,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,0,17.605,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,15,20.62,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,30,22.647,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,45,24.532,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NEHA,AS,14.842,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,0,15.797,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,15,17.656,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,30,19.626,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,45,21.947,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHB,AS,15.102,298.6,302.7,293.8,12.5,1.5125
2019_10_18,NEHB,0,14.72,298.6,302.7,293.8,12.5,1.5125
2019_10_18,NEHB,15,17.726,298.6,302.7,293.8,12.5,1.5125
2019_10_18,NEHB,30,19.52,298.6,302.7,293.8,12.5,1.5125
2019_10_18,NEHB,45,20.724,298.6,302.7,293.8,12.5,1.5125
2019_10_18,NEHC,AS,16.214,298.6,302.4,293.8,4.4,2.17421875
2019_10_18,NEHC,0,15.987,298.6,302.4,293.8,4.4,2.17421875
2019_10_18,NEHC,15,19.678,298.6,302.4,293.8,4.4,2.17421875
2019_10_18,NEHC,30,21.144,298.6,302.4,293.8,4.4,2.17421875
2019_10_18,NEHC,45,21.879,298.6,302.4,293.8,4.4,2.17421875
2019_10_18,NELA,AS,15.797,298.6,302.7,293.8,12.5,2.26875
2019_10_18,NELA,0,15.605,298.6,302.7,293.8,12.5,2.26875
2019_10_18,NELA,15,15.207,298.6,302.7,293.8,12.5,2.26875
2019_10_18,NELA,30,15.206,298.6,302.7,293.8,12.5,2.26875
2019_10_18,NELA,45,14.443,298.6,302.7,293.8,12.5,2.26875
2019_10_18,NELB,AS,14.876,298.6,302.9,293.8,12.5,1.890625
2019_10_18,NELB,0,14.617,298.6,302.9,293.8,12.5,1.890625
2019_10_18,NELB,15,18.022,298.6,302.9,293.8,12.5,1.890625
2019_10_18,NELB,30,18.353,298.6,302.9,293.8,12.5,1.890625
2019_10_18,NELB,45,19.032,298.6,302.9,293.8,12.5,1.890625
2019_10_18,NELC,AS,16.596,298.6,303,293.8,4.4,1.60703125
2019_10_18,NELC,0,15.501,298.6,303,293.8,4.4,1.60703125
2019_10_18,NELC,15,22.735,298.6,303,293.8,4.4,1.60703125
2019_10_18,NELC,30,24.417,298.6,303,293.8,4.4,1.60703125
2019_10_18,NELC,45,27.899,298.6,303,293.8,4.4,1.60703125
2019_10_18,CNHA,AS,NA,NA,NA,NA,NA,NA
2019_10_18,CNHA,0,NA,NA,NA,NA,NA,NA
2019_10_18,CNHA,15,NA,NA,NA,NA,NA,NA
2019_10_18,CNHA,30,NA,NA,NA,NA,NA,NA
2019_10_18,CNHA,45,NA,NA,NA,NA,NA,NA
2019_10_18,CNHB,AS,15.555,303,294,293.8,12.5,0.9453125
2019_10_18,CNHB,0,15.971,303,294,293.8,12.5,0.9453125
2019_10_18,CNHB,15,16.719,303,294,293.8,12.5,0.9453125
2019_10_18,CNHB,30,16.476,303,294,293.8,12.5,0.9453125
2019_10_18,CNHB,45,16.563,303,294,293.8,12.5,0.9453125
2019_10_18,CNHC,AS,15.121,303,300.1,293.8,12.5,1.03984375
2019_10_18,CNHC,0,15.121,303,300.1,293.8,12.5,1.03984375
2019_10_18,CNHC,15,18.823,303,300.1,293.8,12.5,1.03984375
2019_10_18,CNHC,30,19.889,303,300.1,293.8,12.5,1.03984375
2019_10_18,CNHC,45,21.829,303,300.1,293.8,12.5,1.03984375
2019_10_18,CNLA,AS,14.809,303,291.9,293.8,12.5,3.403125
2019_10_18,CNLA,0,14.931,303,291.9,293.8,12.5,3.403125
2019_10_18,CNLA,15,14.983,303,291.9,293.8,12.5,3.403125
2019_10_18,CNLA,30,15.643,303,291.9,293.8,12.5,3.403125
2019_10_18,CNLA,45,16.511,303,291.9,293.8,12.5,3.403125
2019_10_18,CNLB,AS,15.313,303,293.9,293.8,12.5,1.41796875
2019_10_18,CNLB,0,16.025,303,293.9,293.8,12.5,1.41796875
2019_10_18,CNLB,15,18.077,303,293.9,293.8,12.5,1.41796875
2019_10_18,CNLB,30,18.582,303,293.9,293.8,12.5,1.41796875
2019_10_18,CNLB,45,18.795,303,293.9,293.8,12.5,1.41796875
2019_10_18,CNLC,AS,16.008,303,294.5,293.8,12.5,1.41796875
2019_10_18,CNLC,0,15.173,303,294.5,293.8,12.5,1.41796875
2019_10_18,CNLC,15,21.13,303,294.5,293.8,12.5,1.41796875
2019_10_18,CNLC,30,22.825,303,294.5,293.8,12.5,1.41796875
2019_10_18,CNLC,45,23.931,303,294.5,293.8,12.5,1.41796875
2019_10_18,CSHA,AS,17.225,298,293.1,293.8,12.5,1.22890625
2019_10_18,CSHA,0,15.366,298,293.1,293.8,12.5,1.22890625
2019_10_18,CSHA,15,19.402,298,293.1,293.8,12.5,1.22890625
2019_10_18,CSHA,30,24.562,298,293.1,293.8,12.5,1.22890625
2019_10_18,CSHA,45,27.711,298,293.1,293.8,12.5,1.22890625
2019_10_18,CSHB,AS,14.966,298,294.3,293.8,12.5,1.41796875
2019_10_18,CSHB,0,15.62619,298,294.3,293.8,12.5,1.41796875
2019_10_18,CSHB,15,19.211,298,294.3,293.8,12.5,1.41796875
2019_10_18,CSHB,30,24.283,298,294.3,293.8,12.5,1.41796875
2019_10_18,CSHB,45,28.117,298,294.3,293.8,12.5,1.41796875
2019_10_18,CSHC,AS,14.568,298,293.7,293.8,4.4,0.28359375
2019_10_18,CSHC,0,14.43,298,293.7,293.8,4.4,0.28359375
2019_10_18,CSHC,15,17.349,298,293.7,293.8,4.4,0.28359375
2019_10_18,CSHC,30,19.666,298,293.7,293.8,4.4,0.28359375
2019_10_18,CSHC,45,21.745,298,293.7,293.8,4.4,0.28359375
2019_10_18,CSLA,AS,19.422,298,295.1,293.8,4.4,2.26875
2019_10_18,CSLA,0,16.115,298,295.1,293.8,4.4,2.26875
2019_10_18,CSLA,15,20.748,298,295.1,293.8,4.4,2.26875
2019_10_18,CSLA,30,25.987,298,295.1,293.8,4.4,2.26875
2019_10_18,CSLA,45,30.29,298,295.1,293.8,4.4,2.26875
2019_10_18,CSLB,AS,14.343,298,293.4,293.8,4.4,2.646875
2019_10_18,CSLB,0,14.002,298,293.4,293.8,4.4,2.646875
2019_10_18,CSLB,15,21.884,298,293.4,293.8,4.4,2.646875
2019_10_18,CSLB,30,23.794,298,293.4,293.8,4.4,2.646875
2019_10_18,CSLB,45,25.74,298,293.4,293.8,4.4,2.646875
2019_10_18,CSLC,AS,14.69,298,293.6,293.8,4.4,0.66171875
2019_10_18,CSLC,0,19.351,298,293.6,293.8,4.4,0.66171875
2019_10_18,CSLC,15,53.721,298,293.6,293.8,4.4,0.66171875
2019_10_18,CSLC,30,68.367,298,293.6,293.8,4.4,0.66171875
2019_10_18,CSLC,45,82.086,298,293.6,293.8,4.4,0.66171875
2019_10_18,WPXA,AS,NA,NA,NA,NA,NA,NA
2019_10_18,WPXA,0,NA,NA,NA,NA,NA,NA
2019_10_18,WPXA,15,NA,NA,NA,NA,NA,NA
2019_10_18,WPXA,30,NA,NA,NA,NA,NA,NA
2019_10_18,WPXA,45,NA,NA,NA,NA,NA,NA
2019_10_18,WPXB,AS,NA,NA,NA,NA,NA,NA
2019_10_18,WPXB,0,NA,NA,NA,NA,NA,NA
2019_10_18,WPXB,15,NA,NA,NA,NA,NA,NA
2019_10_18,WPXB,30,NA,NA,NA,NA,NA,NA
2019_10_18,WPXB,45,NA,NA,NA,NA,NA,NA
2019_10_18,WPXC,AS,NA,NA,NA,NA,NA,NA
2019_10_18,WPXC,0,NA,NA,NA,NA,NA,NA
2019_10_18,WPXC,15,NA,NA,NA,NA,NA,NA
2019_10_18,WPXC,30,NA,NA,NA,NA,NA,NA
2019_10_18,WPXC,45,NA,NA,NA,NA,NA,NA
2019_10_18,WPXD,AS,NA,NA,NA,NA,NA,NA
2019_10_18,WPXD,0,NA,NA,NA,NA,NA,NA
2019_10_18,WPXD,15,NA,NA,NA,NA,NA,NA
2019_10_18,WPXD,30,NA,NA,NA,NA,NA,NA
2019_10_18,WPXD,45,NA,NA,NA,NA,NA,NA
2019_10_04,NNHA,AS,16.867,298,300,294,4.4,1.79609375
2019_10_04,NNHA,0,16.041,298,300,294,4.4,1.79609375
2019_10_04,NNHA,15,17.474,298,300,294,4.4,1.79609375
2019_10_04,NNHA,30,18.032,298,300,294,4.4,1.79609375
2019_10_04,NNHA,45,18.014,298,300,294,4.4,1.79609375
2019_10_04,NNHB,AS,16.039,298,300.9,294,12.5,0.47265625
2019_10_04,NNHB,0,16.646,298,300.9,294,12.5,0.47265625
2019_10_04,NNHB,15,17.688,298,300.9,294,12.5,0.47265625
2019_10_04,NNHB,30,18.59,298,300.9,294,12.5,0.47265625
2019_10_04,NNHB,45,18.973,298,300.9,294,12.5,0.47265625
2019_10_04,NNHC,AS,15.935,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,0,16.126,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,15,19.86,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,30,22.284,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,45,23.437,298,302.5,294,12.5,0.047265625
2019_10_04,NNLA,AS,17.414,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,0,16.667,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,15,18.891,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,30,18.814,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,45,19.133,298,299.9,294,4.4,1.03984375
2019_10_04,NNLB,AS,16.956,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,0,18.886,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,15,18.364,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,30,17.999,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,45,20.82,298,301.6,294,4.4,2.17421875
2019_10_04,NNLC,AS,16.632,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,0,17.76,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,15,27.121,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,30,28.6,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,45,27.51,298,301.6,294,12.5,1.79609375
2019_10_04,NEHA,AS,16.835,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,0,17.616,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,15,16.956,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,30,22.49,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,45,23.277,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHB,AS,15.83,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,0,15.9,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,15,20.627,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,30,22.179,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,45,22.702,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHC,AS,16.644,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,0,16.977,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,15,18.452,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,30,21.429,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,45,19.931,297.8,302.1,294,12.5,2.17421875
2019_10_04,NELA,AS,16.75,297.8,300,294,4.4,2.26875
2019_10_04,NELA,0,17.478,297.8,300,294,4.4,2.26875
2019_10_04,NELA,15,17.045,297.8,300,294,4.4,2.26875
2019_10_04,NELA,30,16.819,297.8,300,294,4.4,2.26875
2019_10_04,NELA,45,16.299,297.8,300,294,4.4,2.26875
2019_10_04,NELB,AS,16.599,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,0,16.252,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,15,18.614,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,30,18.161,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,45,17.726,297.8,302.1,294,12.5,1.890625
2019_10_04,NELC,AS,17.358,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,0,17.775,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,15,29.598,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,30,34.177,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,45,36.286,297.8,302.2,294,12.5,1.60703125
2019_10_04,CNHA,AS,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,0,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,15,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,30,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,45,NA,NA,NA,NA,NA,NA
2019_10_04,CNHB,AS,16.538,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,0,17.858,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,15,22.005,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,30,24.401,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,45,25.628,297,298.1,294,12.5,0.9453125
2019_10_04,CNHC,AS,16.278,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,0,16.121,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,15,19.963,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,30,23.875,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,45,27.594,297,299.6,294,12.5,1.03984375
2019_10_04,CNLA,AS,16.782,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,0,17.251,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,15,23.439,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,30,26.717,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,45,27.648,297,295.8,294,12.5,3.403125
2019_10_04,CNLB,AS,16.62,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,0,17.991,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,15,27.339,297,296.5,294,12.5,1.41796875
