date,ppm,area
2019_10_18,1000,33.345
2019_10_18,1000,34.109
2019_10_18,1000,34.038
2019_10_18,1000,33.914
2019_10_18,1000,33.914
2019_10_18,1000,34.039
2019_10_18,1000,33.653
2019_10_18,1000,33.207
2019_10_18,1000,33.732
2019_10_18,2500,84.551
2019_10_18,2500,84.921
2019_10_18,2500,83.905
2019_10_18,2500,83.845
2019_10_18,2500,84.228
2019_10_18,2500,84.133
2019_10_18,2500,80.993
2019_10_18,2500,82.582
2019_10_18,2500,81.388
2019_10_18,2500,80.722
2019_10_04,1000,33.888
2019_10_04,1000,33.602
2019_10_04,1000,34.544
2019_10_04,1000,34.147
2019_10_04,1000,34.885
2019_10_04,1000,34.647
2019_10_04,1000,34.897
2019_10_04,1000,35.06
2019_10_04,1000,35.026
2019_10_04,1000,34.939
2019_10_04,1000,34.885
2019_10_04,2500,85.215
2019_10_04,2500,83.142
2019_10_04,2500,85.232
2019_10_04,2500,85.318
2019_10_04,2500,84.693
2019_10_04,2500,85.991
2019_10_04,2500,86.308
2019_10_04,2500,85.694
2019_10_04,2500,85.926
2019_10_04,2500,86.103
2019_10_04,5000,164.24
2019_10_04,5000,163.28
2019_10_04,5000,162.01
2019_10_04,5000,162.29
2019_10_04,5000,166.24
2019_10_04,5000,163.13
2019_10_04,5000,163.1
2019_10_04,5000,163.33
2019_10_04,5000,167.24
2019_10_04,5000,166.97
2019_10_04,5000,167.08
2019_10_04,5000,167.33
2019_10_04,5000,166.69
2019_09_13,5000,162.75
2019_09_13,5000,164.37
2019_09_13,5000,163.02
2019_09_13,5000,163.98
2019_09_13,5000,164.39
2019_09_13,5000,165.29
2019_09_13,5000,164.99
2019_09_13,5000,165.78
2019_09_13,1000.5,34.396
2019_09_13,1000.5,34.553
2019_09_13,1000.5,33.241
2019_09_13,1000.5,34.165
2019_09_13,1000.5,34.182
2019_09_13,1000.5,34.433
2019_09_13,1000.5,34.151
2019_09_13,1000.5,34.559
2019_09_13,2500,85.201
2019_09_13,2500,85.21
2019_09_13,2500,84.878
2019_09_13,2500,85.144
2019_09_13,2500,84.453
2019_09_13,2500,84.475
2019_09_13,2500,84.514
2019_09_13,2500,84.904
2019_08_30,5000,161.38
2019_08_30,5000,160.01
2019_08_30,5000,161.06
2019_08_30,5000,162.91
2019_08_30,5000,156.47
2019_08_30,5000,160.55
2019_08_30,5000,160.42
2019_08_30,5000,160.36
2019_08_30,5000,160.24
2019_08_30,5000,160.12
2019_08_30,5000,161.15
2019_08_30,5000,161.37
2019_08_30,5000,160.8
2019_08_30,5000,158.31
2019_08_30,5000,161.11
2019_08_30,5000,164.86
2019_08_30,2500,84.75
2019_08_30,2500,84.815
2019_08_30,2500,84.878
2019_08_30,2500,83.235
2019_08_30,2500,82.324
2019_08_30,2500,84.638
2019_08_30,1000.5,33.31
2019_08_30,1000.5,33.992
2019_08_30,1000.5,33.87
2019_08_30,1000.5,34.035
2019_08_30,1000.5,34.232
2019_08_30,1000.5,34.012
2019_08_30,1000.5,34.154
2019_08_30,1000.5,34.085
2019_11_15,500,17.02
2019_11_15,500,17.386
2019_11_15,500,17.541
2019_11_15,500,17.732
2019_11_15,500,17.767
2019_11_15,500,17.819
2019_11_15,500,17.525
2019_11_15,500,17.84
2019_11_15,500,18.077
2019_11_15,1000,33.903
2019_11_15,1000,33.692
2019_11_15,1000,33.727
2019_11_15,1000,33.55
2019_11_15,1000,33.642
2019_11_15,1000,33.91
2019_11_15,1000,33.453
2019_11_15,1000,33.759
2019_11_15,1000,33.468
2019_11_15,1000,33.466
2019_11_15,2500,81.832
2019_11_15,2500,81.756
2019_11_15,2500,81.596
2019_11_15,2500,81.748
2019_11_15,2500,81.729
2019_11_15,2500,82.821
2019_11_15,2500,81.025
2019_11_15,2500,81.836
2019_11_15,2500,81.185
2019_11_15,2500,82.513
