date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_10_18,NNHA,AS,3082,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,0,3084,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,15,3032,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,30,2975,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHA,45,2953,300.9,308.9,293.8,4.4,1.79609375
2019_10_18,NNHB,AS,3232,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,0,3042,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,15,3048,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,30,3037,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHB,45,3035,300.9,306.1,293.8,12.5,0.47265625
2019_10_18,NNHC,AS,3360,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,0,3395,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,15,3285,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,30,3323,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNHC,45,3238,300.9,304.2,293.8,12.5,0.047265625
2019_10_18,NNLA,AS,3059,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,0,3087,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,15,3132,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,30,3154,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLA,45,3053,300.9,305.8,293.8,12.5,1.03984375
2019_10_18,NNLB,AS,3070,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,0,3207,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,15,3118,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,30,3063,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLB,45,3115,300.9,305.3,293.8,12.5,2.17421875
2019_10_18,NNLC,AS,3195,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,0,3143,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,15,2955,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,30,3010,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NNLC,45,3122,300.9,301.7,293.8,12.5,1.79609375
2019_10_18,NEHA,AS,3074,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,0,2945,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,15,3180,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,30,3066,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHA,45,3147,298.6,303.7,293.8,12.5,1.5125
2019_10_18,NEHB,AS,3288,298.6,302.7,293.8,12.5,1.5125
2019_10_18,NEHB,0,3376,298.6,302.7,293.8,12.5,1.5125
